Site_Name,Station,Elev,Lat,Lon,installed,County
Abbey,ABY,5650,39.95,-120.54,1963,Plumas
Adin Mountains,20H08,6190,41.23,-120.79,1930,Modoc
Adin Mtn,20H13S,6190,41.24,-120.79,1984,Modoc
Agnew Pass,AGP,9450,37.72,-119.14,1930,Madera
Alpha,APH,7600,38.8,-120.22,1965,El Dorado
Althouse #3 Rev,23G17,4970,42,-123.55,2014,Del Norte
Antelope Ridge,ANR,5650,40.16,-120.54,1963,Plumas
Antelope Springs,ATS,4350,38.5,-120.47,1939,Amador
Anthony Peak,ATP,6200,39.84,-122.95,1944,Tehama
Ash Creek,ASH,5000,41.4,-122.05,1945,Siskiyou
Badger Flat,BDF,8300,37.27,-119.11,1960,Fresno
Beach Meadows,BHM,7650,36.12,-118.29,1930,Tulare
Bear Basin,BBS,6500,40.97,-122.87,1947,Trinity
Bear Valley Ridge 1,BV1,6700,38.62,-120.23,1930,El Dorado
Beard Meadow,BMD,9800,37.11,-118.84,1930,Fresno
Beehive Meadow,BHV,6500,37.99,-119.78,1930,Tuolumne
Bell Meadow,BEM,6500,38.17,-119.94,1937,Tuolumne
Bench Lake,BNH,10600,36.96,-118.44,1973,Fresno
Big Flat (course),BFT,5100,41.08,-122.94,1946,Trinity
Big Meadows,BMS,7600,36.72,-118.84,1930,Tulare
Big Pine Creek 1,BP1,10000,37.13,-118.48,1926,Inyo
Big Pine Creek 2,BP2,9700,37.13,-118.47,1926,Inyo
Big Pine Creek 3,BP3,9800,37.13,-118.47,1926,Inyo
Big Whitney Meadow,BWH,9750,36.44,-118.26,1948,Tulare
Bighorn Plateau,BGH,11350,36.62,-118.38,1949,Tulare
Bishop Lake,BSP,11300,37.12,-118.55,1951,Inyo
Bishop Pass,BSH,11200,37.1,-118.56,1930,Fresno
Black Springs,BLS,6500,38.38,-120.19,1971,Calaveras
Blackcap Basin,BCB,10300,37.07,-118.77,1930,Fresno
Blacks Mountain,BMN,6700,40.76,-121.19,1945,Lassen
Bloods Creek,BLD,7200,38.45,-120.03,1978,Alpine
Blue Lake Ranch,20H14,6830,41.15,-120.25,1997,Lassen
Blue Lakes,19L05,8000,38.6,-119.92,1918,Alpine
Blue Lakes,19L05S,8067,38.61,-119.92,1981,Alpine
Bond Pass,19L35,9300,38.18,-119.62,1948,Tuolumne
Bonita Meadows,BNM,8300,36.04,-118.33,1930,Tulare
Bowman Lake,BOM,5650,39.46,-120.6,1927,Nevada
Box Camp,BXC,6450,41.6,-123.17,1979,Siskiyou
Brewer Creek,BWR,6250,41.44,-122.1,1945,Siskiyou
Browns Camp,BCP,5400,39.9,-121.26,1937,Plumas
Bullfrog Lake,BLF,10650,36.77,-118.4,1932,Fresno
Burney Springs,BNS,4700,40.78,-121.62,1945,Shasta
Burnside Lake,19L41S,8129,38.72,-119.89,2004,Alpine
Caples Lake,20L11,8000,38.71,-120.04,1939,Alpine
Carson Pass,19L45S,8360,38.69,-120,2005,Alpine
Casa Vieja Meadows,CSV,8300,36.2,-118.27,1930,Tulare
Castle Creek 5,20K28,7400,39.35,-120.35,1946,Nevada
Cedar Pass,20H06,7050,41.58,-120.3,1930,Modoc
Cedar Pass,20H06S,7030,41.58,-120.3,1978,Modoc
Chalk Bluff,CHK,4850,39.31,-120.81,1986,Nevada
Chapman Creek,CMC,5850,39.63,-120.53,1968,Sierra
Charlotte Ridge,CLT,10700,36.77,-118.42,1955,Fresno
Chester Flat,CHF,4600,40.28,-121.25,1930,Plumas
Chilkoot Lake,CKT,7450,37.41,-119.48,1930,Madera
Chilkoot Meadow,CHM,7150,37.41,-119.49,1930,Madera
Chiquito Creek,CHQ,6800,37.5,-119.41,1939,Madera
Church Meadows,CHU,6700,39.68,-120.62,1931,Sierra
Cisco,CCO,5900,39.3,-120.54,1925,Placer
Clark Fork Meadow,CFM,8900,38.36,-119.68,1960,Alpine
Clover Meadow,CLM,7000,37.53,-119.28,1939,Madera
Colby Meadow,CBM,9700,37.18,-118.72,1944,Fresno
Cora Lakes,CRA,8400,37.6,-119.27,1939,Madera
Corral Flat,CRF,7200,38.63,-120.22,1938,El Dorado
Corral Meadow,CRM,6650,38.4,-120.04,1986,Tuolumne
Cottonwood Lakes 1,CW1,10150,36.48,-118.18,1926,Inyo
Cottonwood Pass,CWP,11050,36.45,-118.22,1948,Tulare
Courtright,CUR,8350,37.07,-118.97,1983,Fresno
Coyote Lake,CYT,8850,37.21,-119.07,1946,Fresno
Crabtree Meadow,CBT,10700,36.56,-118.35,1949,Tulare
Crowder Flat,20H02S,5170,41.89,-120.75,2000,Modoc
Css Lab,20K31S,6894,39.33,-120.37,1981,Nevada
Dana Meadows,DAN,9800,37.9,-119.26,1926,Tuolumne
Dead Horse Canyon,DHC,4500,41.21,-121.78,1945,Siskiyou
Dead Horse Meadow,DHM,7300,35.87,-118.59,1937,Tulare
Deadfall Lakes,DDF,7200,41.32,-122.5,1946,Trinity
Deadman Creek,DDM,9250,38.33,-119.65,1960,Tuolumne
Devils Postpile,DPO,7569,37.63,-119.08,2013,Madera
Diamond Crossing,DMN,6050,39.11,-120.28,1967,Placer
Dismal Swamp,20H12S,7360,41.99,-120.18,1980,Modoc
Dodsons Meadow,DSM,8050,37.09,-118.96,1956,Fresno
Donner Summit,20K10,6900,39.31,-120.34,1910,Placer
Dutch Lake,DTL,9100,37.26,-119,1938,Fresno
Dynamite Meadow,DYM,5700,41.23,-122.82,1955,Siskiyou
Eagle Meadow,EGM,7500,38.29,-119.83,1931,Tuolumne
East Piute Pass,EPP,10800,37.23,-118.69,1930,Fresno
Ebbetts Pass,19L19S,8661,38.55,-119.8,1979,Alpine
Echo Peak,20L06S,7653,38.85,-120.08,1981,El Dorado
Echo Summit,20L05,7450,38.83,-120.04,1940,El Dorado
Ellery Lake,ELL,9600,37.94,-119.25,1926,Mono
Emerald Lake,EML,10600,37.18,-118.76,1944,Fresno
English Mountain,ENM,7100,39.44,-120.53,1927,Nevada
Etna Mountain,ETN,5900,41.4,-123,1951,Siskiyou
Eureka Bowl,ERB,6800,39.76,-120.72,1948,Plumas
Eureka Lake,EUR,6200,39.76,-120.71,1939,Plumas
Fallen Leaf,20L10S,6242,38.93,-120.05,1980,El Dorado
Farewell Gap,FRW,9500,36.41,-118.58,1952,Tulare
Feather River Meadow,FEM,5400,40.35,-121.42,1930,Plumas
Findley Peak,FNP,6500,39.47,-120.57,1927,Nevada
Florence Lake,FLC,7200,37.28,-118.96,1930,Fresno
Forestdale Creek,19L43S,8017,38.68,-119.96,2004,Alpine
Fred Meadow,FDM,6950,37.02,-119.08,1930,Fresno
Fredonyer Pass 3,FP3,5850,40.38,-120.87,1972,Lassen
Fredonyer Peak,20J01S,7208,40.69,-120.61,2017,Lassen
Freel Bench,19L02,7132,38.87,-119.96,1930,El Dorado
Frenchman Cove,FCV,5800,39.9,-120.27,1963,Plumas
Furnace Flat,20K08,6700,39.35,-120.5,1918,Nevada
Gem Lake,GML,9150,37.75,-119.16,1927,Mono
Gem Pass,GEM,10750,37.78,-119.17,1931,Mono
Gianelli Meadow,GNL,8400,38.2,-119.89,1984,Tuolumne
Giant Forest,GFR,6400,36.57,-118.77,1930,Tulare
Gibsonville,GBN,5400,39.73,-120.93,1950,Sierra
Gin Flat (course),GFL,7000,37.77,-119.77,1930,Mariposa
Gray Rock Lakes,GYR,6200,41.22,-122.42,1941,Siskiyou
Grizzly Ridge,GRZ,6900,39.92,-120.65,1965,Plumas
Guyot Flat,GYF,10650,36.52,-118.35,1949,Tulare
Hagans Meadow,19L03S,7742,38.85,-119.94,1979,El Dorado
Hams Station,HMS,5500,38.54,-120.38,1937,Amador
Harkness Flat,HRF,6200,40.42,-121.28,1930,Plumas
Heart Lake,HRT,10100,37.27,-118.88,1940,Fresno
Heavenly Valley,19L24S,8534,38.92,-119.92,1979,El Dorado
Hells Kitchen,HLK,6550,38.42,-120.1,1968,Calaveras
Helms Meadow,HLM,8250,37.12,-119.01,1930,Fresno
Herring Creek,HRG,7300,38.24,-119.94,1937,Tuolumne
Highland Lakes,HIG,6030,41.09,-122.48,1947,Trinity
Highland Meadow,HHM,8700,38.49,-119.81,1952,Alpine
Hockett Meadows,HKM,8500,36.38,-118.66,1930,Tulare
Horse Corral Meadow,HCM,7600,36.75,-118.75,1930,Fresno
Horse Meadow,19L44S,8557,38.84,-119.89,2004,Alpine
Horse Meadow,HRS,8400,38.16,-119.66,1948,Tuolumne
Huckleberry Lake,HCL,7800,38.1,-119.75,1948,Tuolumne
Humbug Summit 2,HS2,4850,40.19,-121.3,1993,Plumas
Huntington Lake,HTT,7000,37.23,-119.22,1930,Fresno
Huysink,HYS,6600,39.28,-120.53,1937,Placer
Ice House,IHS,5300,38.81,-120.38,1932,El Dorado
Independence Camp,20K04S,6980,39.45,-120.29,1979,Sierra
Independence Creek,20K03S,6436,39.49,-120.28,1981,Sierra
Independence Lake,20K05S,8338,39.43,-120.31,1979,Nevada
Jackass Meadow,JCM,6950,37.5,-119.33,1939,Madera
Kaiser Pass,KSR,9100,37.3,-119.1,1930,Fresno
Kerrick Corral,KRC,7000,38.18,-119.96,1961,Tuolumne
Kettle Rock,KTL,7300,40.14,-120.72,1965,Plumas
Lake Audrain,ABN,7300,38.82,-120.04,1941,El Dorado
Lake Fordyce,20K07,6500,39.36,-120.5,1918,Nevada
Lake Lucille,20L04,8188,38.86,-120.11,1913,El Dorado
Lake Spaulding,SPD,5200,39.32,-120.64,1927,Nevada
Lake Thomas A Edison,THE,7800,37.38,-119.02,2016,Fresno
Leavitt Lake,19L38S,9604,38.28,-119.61,1990,Mono
Leavitt Meadows,19L08S,7198,38.3,-119.55,1981,Mono
Letterbox,LTT,5600,39.86,-121.26,1940,Plumas
Lexington,LXN,5600,39.68,-121.01,1972,Plumas
Little Shasta,LSH,6200,41.81,-122.19,1946,Siskiyou
Lobdell Lake,19L17S,9249,38.44,-119.37,1979,Mono
Long Meadow (kings R),LMD,8500,37.13,-118.92,1930,Fresno
Lost Corner Mountain,LCR,7500,39.02,-120.22,1959,El Dorado
Lower Carson Pass,LCP,8400,38.69,-120,1951,Alpine
Lower Kibbie,LKB,6700,38.03,-119.88,1937,Tuolumne
Lower Lassen Peak,LLP,8250,40.47,-121.51,1930,Shasta
Lower Relief Valley,REL,8100,38.24,-119.76,1930,Tuolumne
Lumberyard 2,LB2,6500,38.55,-120.31,1993,Amador
Lyons Creek,LYN,6700,38.81,-120.24,1937,El Dorado
Mammoth,MMT,8300,37.62,-118.99,1928,Mono
Mammoth Pass (ladwp),MAM,9300,37.61,-119.03,1928,Mono
Mcelroy Pass,MCP,5300,40.7,-121.48,1939,Shasta
Meadow Lake,MWL,7200,39.42,-120.51,1920,Nevada
Medicine Lake,MDC,6700,41.59,-121.61,1938,Siskiyou
Middle Boulder 1,MBL,6600,41.22,-122.81,1946,Siskiyou
Middle Boulder 3,MB3,6200,41.23,-122.81,1948,Siskiyou
Mill Creek Flat,MLF,5900,39.94,-121.19,1930,Plumas
Minarets 2,MN2,9000,37.66,-119.02,1928,Mono
Mineral King,MNK,8000,36.44,-118.59,1948,Tulare
Miranda Cabin,MCB,6200,39.12,-120.36,1967,Placer
Monitor Pass,19L40S,8306,38.67,-119.61,1991,Alpine
Mono Pass,MNP,11450,37.44,-118.77,1950,Fresno
Mount Dyer 1,MDY,7100,40.24,-121.04,1930,Lassen
Mount Dyer 2,MD2,6050,40.26,-121.05,1952,Lassen
Mount Hough,MHG,6700,40.04,-120.88,1965,Plumas
Mount Shasta,MSH,7900,41.37,-122.23,1930,Siskiyou
Mount Stover,MSV,5600,40.29,-121.29,1931,Plumas
Mumbo Basin,MUM,5650,41.2,-122.52,1947,Trinity
Nellie Lake,NLL,8000,37.26,-119.22,1944,Fresno
New Manzanita Lake,NMN,5900,40.53,-121.56,2016,Shasta
Niagara Flat,NGF,6500,38.33,-119.91,1930,Tuolumne
North Fork Sacramento R,NFS,6900,41.31,-122.49,1936,Siskiyou
North Lake,NTH,9300,37.23,-118.62,1930,Inyo
Norvell Flat,NRF,5700,40.48,-121.01,1940,Lassen
Old Enterprise Mill,OEM,6600,36.24,-118.68,1937,Tulare
Ostrander Lake,STR,8200,37.64,-119.55,1938,Mariposa
Pacific Valley,PFV,7500,38.52,-119.9,1930,Alpine
Panther Meadow,PTM,8600,36.59,-118.72,1925,Tulare
Paradise Meadow,PDS,7650,38.05,-119.67,1946,Tuolumne
Parks Creek,PRK,6700,41.37,-122.55,1936,Siskiyou
Peregoy Meadows,PGM,7000,37.67,-119.63,1931,Mariposa
Phillips,PHL,6800,38.82,-120.07,1941,El Dorado
Pilot Peak (dwr),PLP,6800,39.79,-120.88,1972,Plumas
Pioneer Basin,PNB,10400,37.46,-118.8,1949,Fresno
Piute Pass,PPS,11300,37.24,-118.69,2016,Fresno
Plaskett Meadows,PSM,6000,39.73,-122.85,1944,Glenn
Podesta,PDT,7200,38.6,-120.23,1965,El Dorado
Poison Flat,19L06S,7736,38.51,-119.63,1981,Alpine
Poison Meadow,PMD,6800,37.4,-119.52,1944,Madera
Post Corral Meadow,PRM,8200,37.12,-118.9,1930,Fresno
Quaking Aspen,QKA,7000,36.12,-118.55,1937,Tulare
Quinn Ranger Station,QRS,8350,36.33,-118.57,1930,Tulare
Rafferty Meadows,RFM,9400,37.84,-119.33,1948,Tuolumne
Ramshaw Meadows,RMM,8700,36.35,-118.27,1930,Tulare
Rattlesnake Creek Ba,RTT,9900,36.98,-118.72,1973,Fresno
Red Mountain,RDM,7200,39.34,-120.51,1919,Nevada
Red Rock Mountain,RRM,6700,41.02,-122.89,1946,Trinity
Relief Dam,RLD,7250,38.28,-119.73,1930,Tuolumne
Richardsons #2,20L03,6553,38.92,-120.04,1944,El Dorado
Ridge Trail,RGT,7500,36.75,-118.95,2007,Fresno
Robbs Valley,RBV,5600,38.92,-120.38,1932,El Dorado
Robinson Cow Camp SC,RCW,6480,39.62,-120.68,1972,Sierra
Rock Creek,RCR,9600,36.5,-118.33,1949,Tulare
Rock Creek 1,RC1,8700,37.49,-118.72,1926,Mono
Rock Creek 2,RC2,9050,37.47,-118.72,1926,Mono
Rock Creek 3,RC3,10000,37.45,-118.74,1926,Inyo
Rose Marie,RMR,10000,37.32,-118.87,1946,Fresno
Round Corral,RDC,9000,36.99,-118.9,1938,Fresno
Round Meadow,RMD,9000,35.97,-118.36,1930,Tulare
Rowell Meadow,RWM,8850,36.72,-118.74,1931,Tulare
Rubicon #1,20L01,8100,38.99,-120.13,1910,El Dorado
Rubicon #2,20L02S,7619,39,-120.13,1981,El Dorado
Rubicon Peak 2,RP2,7577,39,-120.13,1912,El Dorado
Sachse Springs,SAS,7900,38.09,-119.84,1948,Tuolumne
Saddlebag Lake,SDL,9750,37.96,-119.27,1926,Mono
Sand Flat (course),SFT,6800,41.35,-122.25,1945,Siskiyou
Sandy Meadows,SDM,10650,36.57,-118.37,1949,Tulare
Sapps Hollow,SHW,6950,38.41,-120.03,1992,Tuolumne
Sawmill,SWM,10200,37.16,-118.56,1926,Inyo
Sawmill Ridge,19L34,8761,38.21,-119.35,1976,Mono
Scenic Meadow,SCE,9650,36.69,-118.6,1973,Tulare
Shimmy Lake,SHM,6400,41.01,-122.8,1947,Trinity
Siberian Pass,SIB,10900,36.47,-118.27,1948,Tulare
Silver Lake,SIL,7100,38.68,-120.12,1930,El Dorado
Slate Creek,SLT,5700,41.05,-122.48,1945,Shasta
Snow Flat,SNF,8700,37.83,-119.5,1930,Mariposa
Snow Mountain,SMT,6050,40.77,-121.78,1930,Shasta
Soda Creek Flat,SCF,7800,38.27,-119.68,2016,Tuolumne
Sonora Pass,19L07,8750,38.31,-119.61,1930,Mono
Sonora Pass,19L07S,8770,38.31,-119.6,1979,Mono
Spotted Fawn,SPF,7800,38.09,-119.76,1948,Tuolumne
Spratt Creek,19L39S,6063,38.67,-119.82,1984,Alpine
Squaw Valley #2,20K19,7694,39.18,-120.25,1954,Placer
Squaw Valley G.C.,20K30S,8013,39.19,-120.27,1980,Placer
Stanislaus Meadow,SLM,7750,38.51,-119.94,1971,Alpine
State Line,20H01S,5680,41.99,-120.72,2014,Modoc
State Line Am (Ca),20H01,5690,41.99,-120.72,1958,Modoc
Statum Meadow,SMD,8300,36.94,-118.91,1930,Fresno
Stouts Meadow,STM,5400,41.17,-121.94,1945,Shasta
Summit Meadow,19L42S,9313,38.4,-119.54,2004,Alpine
Sunnyside Meadow,SSM,6300,39.7,-120.78,1972,Sierra
Swampy John,SWJ,5500,41.4,-122.99,1951,Siskiyou
Sweetwater,SWT,5850,41.38,-122.54,1936,Siskiyou
Tahoe City Cross,20K27S,6797,39.17,-120.15,1981,Placer
Talbot Camp,TBC,5750,39.19,-120.38,1940,Placer
Tamarack Creek,TMK,7250,37.18,-119.21,1960,Fresno
Tamarack Flat,TMF,6550,38.8,-120.1,1939,El Dorado
Tenaya Lake,TNY,8150,37.84,-119.45,1930,Mariposa
Thousand Lakes,THL,6500,40.71,-121.58,1946,Shasta
Three Lakes,3LK,6250,39.97,-121.21,1930,Plumas
Tioga Pass,19M01,9800,37.92,-119.25,1926,Mono
Tragedy Creek,TRG,8150,38.63,-120.15,1965,Amador
Trailhead,TRL,9100,36.34,-118.16,1982,Tulare
Truckee #2,20K13S,6509,39.3,-120.18,1981,Placer
"Truckee, Upper",19L01,6396,38.88,-119.98,1930,El Dorado
Tuolumne Meadows,TUM,8600,37.87,-119.35,1930,Tuolumne
Tyndall Creek,TND,10650,36.63,-118.39,1949,Tulare
Upper Burnt Corral,UBC,9700,37.18,-118.94,1927,Fresno
Upper Carson Pass,19L04,8500,38.7,-119.98,1930,Alpine
Upper Kibbie Ridge,UKR,6700,38.04,-119.89,1937,Tuolumne
Vernon Lake,VNN,6700,38.02,-119.72,1947,Tuolumne
Virginia Lakes Ridge,19L13S,9445,38.07,-119.23,1979,Mono
Virginia Lakes Ridge,19L22,9200,38.08,-119.25,1969,Mono
Volcanic Knob,VLC,10050,37.39,-118.9,1946,Fresno
Wabena Meadows,WBM,6300,39.23,-120.4,1937,Placer
Ward Creek #2,20K17,7000,39.14,-120.22,1913,Placer
Ward Creek #3,20K25S,6745,39.14,-120.22,1980,Placer
Warner Creek,WRN,5100,40.39,-121.31,1930,Plumas
Webber Lake,20K02,7000,39.48,-120.43,1925,Sierra
Webber Peak,20K01,7800,39.48,-120.44,1922,Sierra
Whalan,WHN,5400,41.15,-122.45,1940,Trinity
Wheeler Lake,WHE,7800,38.52,-119.99,1937,Alpine
Willow Flat,19L09,8231,38.26,-119.46,1925,Mono
Wilma Lake,WLW,8000,38.08,-119.63,1946,Tuolumne
Wolford Cabin,WLC,6150,41.2,-122.83,1949,Trinity
Woodchuck Meadow,WDH,8800,37.02,-118.91,1930,Fresno
Wrights Lake,WRG,6900,38.85,-120.23,1956,El Dorado
Yuba Pass,YBP,6700,39.62,-120.49,1937,Sierra